data;value;label
01/03/2024;0.0331;Histórico
01/04/2024;0.1023;Histórico
01/05/2024;0.087;Histórico
01/06/2024;0.0365;Histórico
01/07/2024;0.0739;Histórico
01/08/2024;0.0707;Histórico
01/09/2024;0.0675;Histórico
01/10/2024;0.0977;Histórico
01/11/2024;0.0649;Histórico
01/12/2024;0.0822;Histórico
01/01/2025;0.169;Histórico
01/02/2025;0.1554;Histórico
01/03/2025;0.165;Forecast
01/04/2025;0.166;Forecast
01/06/2025;0.1553;Forecast
