data;value;label
01/01/2024;1.3;Histórico
01/02/2024;1.27;Histórico
01/03/2024;1.26;Histórico
01/04/2024;1.26;Histórico
01/05/2024;1.24;Histórico
01/06/2024;1.25;Histórico
01/07/2024;1.19;Histórico
01/08/2024;1.23;Histórico
01/09/2024;1.26;Histórico
01/10/2024;1.26;Histórico
01/11/2024;1.27;Histórico
01/12/2024;1.27;Histórico
01/01/2025;1.27;Forecast
01/02/2025;1.25;Forecast
01/03/2025;1.26;Forecast
